index,minimax_actions,cnn_actions,minimax_score,cnn_score,winner,final_score
0,0,527,68,41,1,-27
1,0,114,0,36,2,36
2,0,422,53,57,2,4
3,0,491,40,70,2,30
4,0,439,50,39,1,-11
5,0,131,6,43,2,37
6,0,482,73,34,1,-39
7,0,430,17,58,2,41
8,0,499,47,50,2,3
9,0,656,26,73,2,47
10,0,552,53,56,2,3
11,0,200,3,48,2,45
12,0,504,13,66,2,53
13,0,575,31,75,2,44
14,0,451,58,49,1,-9
15,0,414,76,34,1,-42
16,0,537,40,65,2,25
17,0,148,6,43,2,37
18,0,452,23,56,2,33
19,0,595,55,52,1,-3
20,0,582,45,50,2,5
21,0,701,50,56,2,6
22,0,459,24,73,2,49
23,0,231,3,57,2,54
24,0,417,58,49,1,-9
25,0,426,20,65,2,45
26,0,56,0,22,2,22
27,0,187,0,48,2,48
28,0,434,46,57,2,11
29,0,398,29,81,2,52
30,0,356,47,63,2,16
31,0,444,51,42,1,-9
32,0,536,40,51,2,11
33,0,507,61,46,1,-15
34,0,554,36,53,2,17
35,0,476,65,38,1,-27
36,0,437,28,57,2,29
37,0,477,61,47,1,-14
38,0,546,56,52,1,-4
39,0,183,7,34,2,27
40,0,555,56,43,1,-13
41,0,412,43,62,2,19
42,0,66,8,24,2,16
43,0,435,40,53,2,13
44,0,482,38,55,2,17
45,0,229,17,50,2,33
46,0,389,41,69,2,28
47,0,231,4,62,2,58
48,0,526,51,50,1,-1
49,0,341,39,64,2,25
50,0,541,34,73,2,39
51,0,440,19,60,2,41
52,0,581,52,57,2,5
53,0,494,42,59,2,17
54,0,566,38,61,2,23
55,0,571,49,59,2,10
56,0,450,66,44,1,-22
57,0,142,0,42,2,42
58,0,520,52,58,2,6
59,0,509,49,48,1,-1
60,0,577,35,72,2,37
61,0,646,63,38,1,-25
62,0,516,55,54,1,-1
63,0,360,12,61,2,49
64,0,289,31,52,2,21
65,0,669,47,60,2,13
66,0,87,9,30,2,21
67,0,358,39,67,2,28
68,0,464,62,47,1,-15
69,0,463,70,40,1,-30
70,0,509,37,64,2,27
71,0,465,51,48,1,-3
72,0,440,36,49,2,13
73,0,353,34,53,2,19
74,0,404,25,78,2,53
75,0,468,17,56,2,39
76,0,598,43,54,2,11
77,0,241,8,51,2,43
78,0,550,60,50,1,-10
79,0,485,39,71,2,32
80,0,523,26,55,2,29
81,0,487,61,46,1,-15
82,0,535,36,74,2,38
83,0,405,57,48,1,-9
84,0,496,30,73,2,43
85,0,484,31,66,2,35
86,0,479,29,50,2,21
87,0,397,30,75,2,45
88,0,369,34,75,2,41
89,0,626,48,58,2,10
90,0,507,64,43,1,-21
91,0,325,15,62,2,47
92,0,627,45,64,2,19
93,0,441,39,69,2,30
94,0,269,5,44,2,39
95,0,340,15,52,2,37
96,0,505,39,52,2,13
97,0,474,42,61,2,19
98,0,384,18,65,2,47
99,0,507,44,66,2,22
